Theta,n,segSites,prob
two,1,1,0
two,2,1,0.222222222
two,3,1,0.194444444
two,4,1,0.156666667
two,5,1,0.126666667
two,6,1,0.104081633
two,7,1,0.086989796
two,8,1,0.07383157
two,9,1,0.0635097
two,10,1,0.055268267
two,11,1,0.048582142
two,12,1,0.043080353
two,13,1,0.038495875
two,14,1,0.034632933
two,15,1,0.031345483
two,16,1,0.028522831
two,17,1,0.026079844
two,18,1,0.023950171
two,19,1,0.02208147
two,20,1,0.020431988
two,21,1,0.01896808
two,22,1,0.017662383
two,23,1,0.016492451
two,24,1,0.015439721
two,25,1,0.014488737
two,26,1,0.013626534
two,27,1,0.012842175
two,28,1,0.012126374
two,29,1,0.011471206
two,30,1,0.010869872
two,31,1,0.010316513
two,32,1,0.009806061
two,33,1,0.009334084
ten,1,1,0
ten,2,1,0.082644628
ten,3,1,0.026400367
ten,4,1,0.008782011
ten,5,1,0.003222718
ten,6,1,0.00129624
ten,7,1,0.000564137
ten,8,1,0.000262538
ten,9,1,0.00012938
ten,10,1,6.70E-05
ten,11,1,3.62E-05
ten,12,1,2.03E-05
ten,13,1,1.18E-05
ten,14,1,7.04E-06
ten,15,1,4.32E-06
ten,16,1,2.71E-06
ten,17,1,1.74E-06
ten,18,1,1.14E-06
ten,19,1,7.61E-07
ten,20,1,5.16E-07
ten,21,1,3.55E-07
ten,22,1,2.48E-07
ten,23,1,1.75E-07
ten,24,1,1.25E-07
ten,25,1,9.07E-08
ten,26,1,6.62E-08
ten,27,1,4.88E-08
ten,28,1,3.68E-08
ten,29,1,2.56E-08
ten,30,1,2.42E-08
ten,31,1,1.62E-08
ten,32,1,-5.27E-09
ten,33,1,-1.36E-08
twenty,1,1,0
twenty,2,1,0.045351474
twenty,3,1,0.00805832
twenty,4,1,0.001542088
twenty,5,1,0.000335439
twenty,6,1,8.21E-05
twenty,7,1,2.23E-05
twenty,8,1,6.62E-06
twenty,9,1,2.12E-06
twenty,10,1,7.27E-07
twenty,11,1,2.64E-07
twenty,12,1,1.01E-07
twenty,13,1,4.08E-08
twenty,14,1,1.71E-08
twenty,15,1,7.48E-09
twenty,16,1,3.38E-09
twenty,17,1,1.58E-09
twenty,18,1,7.60E-10
twenty,19,1,3.74E-10
twenty,20,1,1.98E-10
twenty,21,1,1.03E-10
twenty,22,1,6.91E-11
twenty,23,1,6.34E-11
twenty,24,1,1.45E-11
twenty,25,1,5.64E-11
twenty,26,1,9.17E-11
twenty,27,1,-1.72E-10
twenty,28,1,2.39E-10
twenty,29,1,3.78E-10
twenty,30,1,-1.29E-09
twenty,31,1,-4.31E-09
twenty,32,1,6.57E-09
twenty,33,1,-1.58E-09
two,1,2,0
two,2,2,0.148148148
two,3,2,0.171296296
two,4,2,0.165444444
two,5,2,0.152518519
two,6,2,0.138679408
two,7,2,0.125757005
two,8,2,0.11421802
two,9,2,0.104076356
two,10,2,0.095202158
two,11,2,0.087432155
two,12,2,0.080608801
two,13,2,0.074592669
two,14,2,0.069264704
two,15,2,0.064524801
two,16,2,0.060289275
two,17,2,0.056488228
two,18,2,0.053063169
