Theta,wak.n,wak.segsites,wak.prob
two,1,1,0
two,2,1,0.222222222
two,3,1,0.194444444
two,4,1,0.156666667
two,5,1,0.126666667
two,6,1,0.104081633
two,7,1,0.086989796
two,8,1,0.07383157
two,9,1,0.0635097
two,10,1,0.055268267
two,11,1,0.048582142
two,12,1,0.043080353
two,13,1,0.038495875
two,14,1,0.034632933
two,15,1,0.031345483
two,16,1,0.028522831
two,17,1,0.026079844
two,18,1,0.023950171
two,19,1,0.02208147
two,20,1,0.020431988
two,21,1,0.01896808
two,22,1,0.017662383
two,23,1,0.016492451
two,24,1,0.015439721
two,25,1,0.014488737
two,26,1,0.013626534
two,27,1,0.012842175
two,28,1,0.012126374
two,29,1,0.011471206
two,30,1,0.010869872
two,31,1,0.010316513
two,32,1,0.009806061
two,33,1,0.009334084
two,34,1,0.008896738
two,35,1,0.008490682
two,36,1,0.00811283
two,37,1,0.007760604
two,38,1,0.007431525
two,39,1,0.00712319
two,40,1,0.006835188
two,41,1,0.006564309
two,42,1,0.006308448
two,43,1,0.006070119
two,44,1,0.005855521
two,45,1,0.005578455
two,46,1,0.005351805
two,47,1,0.005111961
two,48,1,0.004615072
two,49,1,0.004579553
two,50,1,0.003959096
ten,1,1,0
ten,2,1,0.082644628
ten,3,1,0.026400367
ten,4,1,0.008782011
ten,5,1,0.003222718
ten,6,1,0.00129624
ten,7,1,0.000564137
ten,8,1,0.000262538
ten,9,1,0.00012938
ten,10,1,6.70E-05
ten,11,1,3.62E-05
ten,12,1,2.03E-05
ten,13,1,1.18E-05
ten,14,1,7.04E-06
ten,15,1,4.32E-06
ten,16,1,2.71E-06
ten,17,1,1.74E-06
ten,18,1,1.14E-06
ten,19,1,7.61E-07
ten,20,1,5.16E-07
ten,21,1,3.55E-07
ten,22,1,2.48E-07
ten,23,1,1.75E-07
ten,24,1,1.25E-07
ten,25,1,9.07E-08
ten,26,1,6.62E-08
ten,27,1,4.88E-08
ten,28,1,3.68E-08
ten,29,1,2.56E-08
ten,30,1,2.42E-08
ten,31,1,1.62E-08
ten,32,1,-5.27E-09
ten,33,1,-1.36E-08
ten,34,1,-6.67E-08
ten,35,1,-1.40E-07
ten,36,1,-2.80E-08
ten,37,1,-1.14E-07
ten,38,1,-3.70E-07
ten,39,1,-2.73E-07
ten,40,1,-8.07E-07
ten,41,1,-1.03E-06
ten,42,1,1.24E-05
ten,43,1,-3.81E-05
ten,44,1,-1.49E-06
ten,45,1,-1.65E-05
ten,46,1,9.70E-05
ten,47,1,-9.26E-05
ten,48,1,0.000761402
ten,49,1,-0.000831245
ten,50,1,0.000584279
twenty,1,1,0
twenty,2,1,0.045351474
twenty,3,1,0.00805832
twenty,4,1,0.001542088
twenty,5,1,0.000335439
twenty,6,1,8.21E-05
twenty,7,1,2.23E-05
twenty,8,1,6.62E-06
twenty,9,1,2.12E-06
twenty,10,1,7.27E-07
twenty,11,1,2.64E-07
twenty,12,1,1.01E-07
twenty,13,1,4.08E-08
twenty,14,1,1.71E-08
twenty,15,1,7.48E-09
twenty,16,1,3.38E-09
twenty,17,1,1.58E-09
