Theta,wak.n,wak.segsites,wak.prob
twenty,2,0,0.047619048
twenty,2,1,0.045351474
twenty,2,2,0.04319188
twenty,2,3,0.041135124
twenty,2,4,0.039176308
twenty,2,5,0.03731077
twenty,2,6,0.035534067
twenty,2,7,0.033841968
twenty,2,8,0.032230446
twenty,2,9,0.030695663
twenty,2,10,0.029233964
twenty,2,11,0.027841871
twenty,2,12,0.026516068
twenty,2,13,0.025253398
twenty,2,14,0.024050855
twenty,2,15,0.022905576
twenty,2,16,0.021814834
twenty,2,17,0.020776033
twenty,2,18,0.019786698
twenty,2,19,0.018844474
twenty,2,20,0.017947118
twenty,2,21,0.017092494
twenty,2,22,0.016278565
twenty,2,23,0.015503396
twenty,2,24,0.014765139
twenty,2,25,0.014062037
twenty,2,26,0.013392416
twenty,2,27,0.012754682
twenty,2,28,0.012147316
twenty,2,29,0.011568872
twenty,2,30,0.011017974
twenty,2,31,0.010493308
twenty,2,32,0.009993627
twenty,2,33,0.00951774
twenty,2,34,0.009064514
twenty,2,35,0.008632871
twenty,2,36,0.008221782
twenty,2,37,0.007830268
twenty,2,38,0.007457398
twenty,2,39,0.007102284
twenty,2,40,0.00676408
twenty,2,41,0.006441981
twenty,2,42,0.00613522
twenty,2,43,0.005843067
twenty,2,44,0.005564825
twenty,2,45,0.005299834
twenty,2,46,0.005047461
twenty,2,47,0.004807105
twenty,2,48,0.004578196
twenty,2,49,0.004360186
twenty,2,50,0.004152558
twenty,2,51,0.003954818
twenty,2,52,0.003766493
twenty,2,53,0.003587136
twenty,2,54,0.00341632
twenty,2,55,0.003253638
twenty,2,56,0.003098703
twenty,2,57,0.002951146
twenty,2,58,0.002810615
twenty,2,59,0.002676776
twenty,2,60,0.002549311
twenty,2,61,0.002427915
twenty,2,62,0.0023123
twenty,2,63,0.00220219
twenty,2,64,0.002097324
twenty,2,65,0.001997452
twenty,2,66,0.001902335
twenty,2,67,0.001811747
twenty,2,68,0.001725474
twenty,2,69,0.001643308
twenty,2,70,0.001565056
twenty,2,71,0.001490529
twenty,2,72,0.001419552
twenty,2,73,0.001351954
twenty,2,74,0.001287575
twenty,2,75,0.001226262
twenty,2,76,0.001167869
twenty,2,77,0.001112256
twenty,2,78,0.001059291
twenty,2,79,0.001008849
twenty,2,80,0.000960808
twenty,2,81,0.000915056
twenty,2,82,0.000871482
twenty,2,83,0.000829982
twenty,2,84,0.000790459
twenty,2,85,0.000752819
twenty,2,86,0.00071697
twenty,2,87,0.000682829
twenty,2,88,0.000650313
twenty,2,89,0.000619346
twenty,2,90,0.000589853
twenty,2,91,0.000561765
twenty,2,92,0.000535014
twenty,2,93,0.000509537
twenty,2,94,0.000485274
twenty,2,95,0.000462165
twenty,2,96,0.000440157
twenty,2,97,0.000419198
twenty,2,98,0.000399236
twenty,2,99,0.000380224
twenty,2,100,0.000362119
twenty,2,101,0.000344875
twenty,2,102,0.000328452
twenty,2,103,0.000312812
twenty,2,104,0.000297916
twenty,2,105,0.000283729
twenty,2,106,0.000270218
twenty,2,107,0.000257351
twenty,2,108,0.000245096
twenty,2,109,0.000233425
twenty,2,110,0.000222309
twenty,2,111,0.000211723
twenty,2,112,0.000201641
twenty,2,113,0.000192039
twenty,2,114,0.000182894
twenty,2,115,0.000174185
twenty,2,116,0.000165891
twenty,2,117,0.000157991
twenty,2,118,0.000150468
twenty,2,119,0.000143303
twenty,2,120,0.000136479
twenty,2,121,0.00012998
twenty,2,122,0.00012379
twenty,2,123,0.000117895
twenty,2,124,0.000112281
twenty,2,125,0.000106935
twenty,2,126,0.000101842
twenty,2,127,9.69929E-05
twenty,2,128,9.23741E-05
twenty,2,129,8.79754E-05
twenty,3,0,0.004329004
twenty,3,1,0.00805832
twenty,3,2,0.01125228
twenty,3,3,0.013968902
twenty,3,4,0.016260484
twenty,3,5,0.018174147
twenty,3,6,0.019752321
twenty,3,7,0.021033198
twenty,3,8,0.02205113
twenty,3,9,0.022836996
twenty,3,10,0.023418539
twenty,3,11,0.02382066
twenty,3,12,0.024065697
twenty,3,13,0.02417367
twenty,3,14,0.024162505
twenty,3,15,0.024048239
twenty,3,16,0.023845202
twenty,3,17,0.023566186
twenty,3,18,0.023222597
twenty,3,19,0.022824585
twenty,3,20,0.022381179
twenty,3,21,0.02190039
twenty,3,22,0.021389315
twenty,3,23,0.020854231
twenty,3,24,0.020300677
