n,expHap.t2,varHap.t2,expHap.t10,varHap.t10
2,1.666666667,1.222222222,1.666666667,1.222222222
3,2.166666667,1.472222222,2.166666667,1.472222222
4,2.566666667,1.712222222,2.566666667,1.712222222
5,2.9,1.934444444,2.9,1.934444444
6,3.185714286,2.138526077,3.185714286,2.138526077
7,3.435714286,2.326026077,3.435714286,2.326026077
8,3.657936508,2.498865583,3.657936508,2.498865583
9,3.857936508,2.658865583,3.857936508,2.658865583
10,4.03975469,2.807625914,4.03975469,2.807625914
11,4.206421356,2.946514803,4.206421356,2.946514803
12,4.36026751,3.076692318,4.36026751,3.076692318
13,4.503124653,3.199141297,4.503124653,3.199141297
14,4.636457986,3.314696853,4.636457986,3.314696853
15,4.761457986,3.424071853,4.761457986,3.424071853
16,4.879105045,3.527878081,4.879105045,3.527878081
17,4.990216156,3.626643513,4.990216156,3.626643513
18,5.095479314,3.720826339,5.095479314,3.720826339
19,5.195479314,3.810826339,5.195479314,3.810826339
20,5.29071741,3.896994139,5.29071741,3.896994139
21,5.3816265,3.979638767,5.3816265,3.979638767
22,5.468583022,4.059033852,5.468583022,4.059033852
23,5.551916356,4.135422741,5.551916356,4.135422741
24,5.631916356,4.209022741,5.631916356,4.209022741
25,5.708839432,4.280028658,5.708839432,4.280028658
26,5.782913507,4.348615764,5.782913507,4.348615764
27,5.854342078,4.414942295,5.854342078,4.414942295
28,5.923307595,4.479151569,5.923307595,4.479151569
29,5.989974262,4.541373791,5.989974262,4.541373791
30,6.054490391,4.60172759,6.054490391,4.60172759
31,6.116990391,4.66032134,6.116990391,4.66032134
32,6.177596451,4.717254306,6.177596451,4.717254306
33,6.236419981,4.772617627,6.236419981,4.772617627
34,6.293562838,4.826495178,6.293562838,4.826495178
35,6.349118394,4.878964314,6.349118394,4.878964314
36,6.403172448,4.930096528,6.403172448,4.930096528
37,6.455804027,4.979958023,6.455804027,4.979958023
38,6.507086078,5.028610226,6.507086078,5.028610226
39,6.557086078,5.076110226,6.557086078,5.076110226
40,6.605866566,5.122511178,6.605866566,5.122511178
41,6.653485613,5.167862652,6.653485613,5.167862652
42,6.699997241,5.212210948,6.699997241,5.212210948
43,6.745451787,5.255599378,6.745451787,5.255599378
44,6.789896231,5.298068514,6.789896231,5.298068514
45,6.833374492,5.339656415,6.833374492,5.339656415
46,6.875927683,5.380398833,6.875927683,5.380398833
47,6.91759435,5.420329388,6.91759435,5.420329388
48,6.958410677,5.459479742,6.958410677,5.459479742
49,6.998410677,5.497879742,6.998410677,5.497879742
50,7.037626363,5.535557558,7.037626363,5.535557558
51,7.076087901,5.572539807,7.076087901,5.572539807
52,7.11382375,5.608851662,7.11382375,5.608851662
53,7.150860787,5.644516957,7.150860787,5.644516957
54,7.187224424,5.679558279,7.187224424,5.679558279
55,7.22293871,5.713997054,7.22293871,5.713997054
56,7.258026429,5.747853626,7.258026429,5.747853626
57,7.292509187,5.781147324,7.292509187,5.781147324
58,7.326407493,5.813896534,7.326407493,5.813896534
59,7.359740826,5.846118756,7.359740826,5.846118756
60,7.392527711,5.877830661,7.392527711,5.877830661
61,7.424785776,5.909048143,7.424785776,5.909048143
62,7.456531807,5.939786364,7.456531807,5.939786364
63,7.487781807,5.970059802,7.487781807,5.970059802
64,7.518551038,5.999882287,7.518551038,5.999882287
65,7.548854068,6.029267044,7.548854068,6.029267044
66,7.578704815,6.058226723,7.578704815,6.058226723
67,7.608116579,6.086773436,7.608116579,6.086773436
68,7.637102087,6.114918783,7.637102087,6.114918783
69,7.665673515,6.142673885,7.665673515,6.142673885
70,7.693842529,6.170049406,7.693842529,6.170049406
71,7.721620307,6.197055579,7.721620307,6.197055579
72,7.749017567,6.223702229,7.749017567,6.223702229
73,7.776044594,6.249998796,7.776044594,6.249998796
74,7.802711261,6.275954352,7.802711261,6.275954352
75,7.829027051,6.30157762,7.829027051,6.30157762
76,7.855001077,6.326876996,7.855001077,6.326876996
77,7.880642102,6.35186056,7.880642102,6.35186056
78,7.905958558,6.376536093,7.905958558,6.376536093
79,7.930958558,6.400911093,7.930958558,6.400911093
80,7.955649916,6.424992787,7.955649916,6.424992787
81,7.98004016,6.448788147,7.98004016,6.448788147
