"","theta.df","n.df","exp.haplotypes","exp.variance"
"1","two","1",NA,NA
"2","two","2","1.95238095238095","1.0453514739229"
"3","two","3","2.86147186147186","1.12799610202208"
"4","two","4","3.73103707886317","1.24141765211659"
"5","two","5","4.5643704121965","1.38030654100548"
"6","two","6","5.3643704121965","1.54030654100548"
"7","two","7","6.13360118142727","1.71782133390489"
"8","two","8","6.87434192216801","1.90986522965249"
"9","two","9","7.58862763645372","2.11394686230555"
"10","two","10","8.27828280886752","2.32797777788225"
"11","two","11","8.94494947553418","2.55020000010447"
"12","two","12","9.59011076585676","2.77912819989635"
"13","two","13","10.2151107658568","3.01350319989635"
"14","two","14","10.8211713719174","3.25225434773841"
"15","two","15","11.409406666035","3.49446888061038"
"16","two","16","11.9808352374636","3.73936683979406"
"17","two","17","12.5363907930191","3.98628042004097"
"18","two","18","13.0769313335597","4.23463688461365"
"19","two","19","13.6032471230334","4.48394436383803"
"20","two","20","14.1160676358539","4.73377999828904"
"21","two","21","14.6160676358539","4.98377999828904"
"22","two","22","15.1038725139027","5.23363127728964"
"23","two","23","15.5800629900931","5.4830643838656"
"24","two","24","16.0451792691629","5.73184750987967"
"25","two","25","16.4997247237084","5.97978139417719"
"26","two","26","16.9441691681528","6.2266949744241"
"27","two","27","17.3789517768485","6.47244166629556"
"28","two","28","17.8044836917421","6.71689617059614"
"29","two","29","18.2211503584087","6.9599517261517"
"30","two","30","18.6293136237149","7.20151774031247"
"31","two","31","19.0293136237149","7.44151774031246"
"32","two","32","19.42147048646","7.67988759805948"
"33","two","33","19.8060858710753","7.91657398859203"
"34","two","34","20.1834443616414","8.15153304875579"
"35","two","35","20.5538147320118","8.38472920787788"
"36","two","36","20.9174510956481","8.61613416655556"
"37","two","37","21.274593952791","8.84572600329025"
"38","two","38","21.6254711457734","9.07348839171746"
"39","two","39","21.9702987319803","9.29940991371509"
"40","two","40","22.3092817828278","9.52348345580069"
"41","two","41","22.6426151161611","9.74570567802291"
"42","two","42","22.9704839686201","9.96607654606914"
"43","two","43","23.2930646137814","10.1845989185978"
"44","two","44","23.6105249312417","10.4012781828961"
"45","two","45","23.9230249312417","10.6161219328961"
"46","two","46","24.2307172389341","10.8291396843754"
"47","two","47","24.5337475419644","11.040342622851"
"48","two","48","24.8322550046509","11.249743380258"
"49","two","49","25.1263726517097","11.4573558370054"
