n,expHap.t2,varHap.t2,expHap.t10,varHap.t10,expHap.t20,varHap.t20
2,1.666666667,1.222222222,1.909090909,1.082644628,1.952380952,1.045351474
3,2.166666667,1.472222222,2.742424242,1.221533517,2.861471861,1.127996102
4,2.566666667,1.712222222,3.511655012,1.39904831,3.731037079,1.241417652
5,2.9,1.934444444,4.225940726,1.603129943,4.564370412,1.380306541
6,3.185714286,2.138526077,4.892607393,1.825352165,5.364370412,1.540306541
7,3.435714286,2.326026077,5.517607393,2.059727165,6.133601181,1.717821334
8,3.657936508,2.498865583,6.105842687,2.301941698,6.874341922,1.90986523
9,3.857936508,2.658865583,6.661398242,2.548855278,7.588627636,2.113946862
10,4.03975469,2.807625914,7.187714032,2.798162757,8.278282809,2.327977778
11,4.206421356,2.946514803,7.687714032,3.048162757,8.944949476,2.5502
12,4.36026751,3.076692318,8.163904508,3.297595864,9.590110766,2.7791282
13,4.503124653,3.199141297,8.618449962,3.545529748,10.21511077,3.0135032
14,4.636457986,3.314696853,9.053232571,3.79127644,10.82117137,3.252254348
15,4.761457986,3.424071853,9.469899238,4.034331995,11.40940667,3.494468881
16,4.879105045,3.527878081,9.869899238,4.274331995,11.98083524,3.73936684
17,4.990216156,3.626643513,10.25451462,4.511018386,12.53639079,3.98628042
18,5.095479314,3.720826339,10.62488499,4.744214545,13.07693133,4.234636885
19,5.195479314,3.810826339,10.98202785,4.973806382,13.60324712,4.483944364
20,5.29071741,3.896994139,11.32685544,5.199727904,14.11606764,4.733779998
21,5.3816265,3.979638767,11.66018877,5.421950126,14.61606764,4.983779998
22,5.468583022,4.059033852,11.98276941,5.640472499,15.10387251,5.233631277
23,5.551916356,4.135422741,12.29526941,5.855316249,15.58006299,5.483064384
24,5.631916356,4.209022741,12.59829972,6.066519187,16.04517927,5.73184751
25,5.708839432,4.280028658,12.89241736,6.274131644,16.49972472,5.979781394
26,5.782913507,4.348615764,13.17813165,6.478213276,16.94416917,6.226694974
27,5.854342078,4.414942295,13.45590943,6.67883056,17.37895178,6.472441666
28,5.923307595,4.479151569,13.7261797,6.876054812,17.80448369,6.716896171
29,5.989974262,4.541373791,13.98933759,7.069960629,18.22115036,6.959951726
30,6.054490391,4.60172759,14.24574785,7.260624666,18.62931362,7.20151774
31,6.116990391,4.66032134,14.49574785,7.448124666,19.02931362,7.44151774
32,6.177596451,4.717254306,14.73965029,7.632538705,19.42147049,7.679887598
33,6.236419981,4.772617627,14.97774553,7.813944601,19.80608587,7.916573989
34,6.293562838,4.826495178,15.21030367,7.992419452,20.18344436,8.151533049
35,6.349118394,4.878964314,15.43757639,8.168039287,20.55381473,8.384729208
36,6.403172448,4.930096528,15.65979862,8.340878793,20.9174511,8.616134167
37,6.455804027,4.979958023,15.87718992,8.511011118,21.27459395,8.845726003
38,6.507086078,5.028610226,16.08995588,8.678507723,21.62547115,9.073488392
39,6.557086078,5.076110226,16.29828921,8.843438278,21.97029873,9.299409914
40,6.605866566,5.122511178,16.50237084,9.005870598,22.30928178,9.523483456
41,6.653485613,5.167862652,16.70237084,9.165870598,22.64261512,9.745705678
42,6.699997241,5.212210948,16.89844927,9.323502278,22.97048397,9.966076546
43,6.745451787,5.255599378,17.09075697,9.478827722,23.29306461,10.18459892
44,6.789896231,5.298068514,17.27943621,9.63190711,23.61052493,10.40127818
