"","Pop","Theta","Growth","samplingSize","n.haplotypes","hap.diversity","Max.Gamma.value"
"1",1,"two","yes",2,2,0.5504204,2
"2",1,"two","yes",2,2,0.5504204,2
"3",1,"two","yes",2,1,0.5504204,1
"4",1,"two","yes",2,1,0.5504204,1
"5",1,"two","yes",2,2,0.5504204,2
"6",1,"two","yes",2,2,0.5504204,2
"7",1,"two","yes",2,2,0.5504204,2
"8",1,"two","yes",2,1,0.5504204,1
"9",1,"two","yes",2,2,0.5504204,2
"10",1,"two","yes",2,2,0.5504204,2
"11",1,"two","yes",2,2,0.5504204,2
"12",1,"two","yes",2,1,0.5504204,1
"13",1,"two","yes",2,2,0.5504204,2
"14",1,"two","yes",2,1,0.5504204,1
"15",1,"two","yes",2,2,0.5504204,2
"16",1,"two","yes",2,1,0.5504204,1
"17",1,"two","yes",2,1,0.5504204,1
"18",1,"two","yes",2,2,0.5504204,2
"19",1,"two","yes",2,1,0.5504204,1
"20",1,"two","yes",2,1,0.5504204,1
"21",1,"two","yes",2,1,0.5504204,1
"22",1,"two","yes",2,2,0.5504204,2
"23",1,"two","yes",2,2,0.5504204,2
"24",1,"two","yes",2,2,0.5504204,2
"25",1,"two","yes",2,1,0.5504204,1
"26",1,"two","yes",2,1,0.5504204,1
"27",1,"two","yes",2,2,0.5504204,2
"28",1,"two","yes",2,2,0.5504204,2
"29",1,"two","yes",2,2,0.5504204,2
"30",1,"two","yes",2,2,0.5504204,2
"31",1,"two","yes",2,2,0.5504204,2
"32",1,"two","yes",2,1,0.5504204,1
"33",1,"two","yes",2,2,0.5504204,2
"34",1,"two","yes",2,2,0.5504204,2
"35",1,"two","yes",2,2,0.5504204,2
"36",1,"two","yes",2,2,0.5504204,2
"37",1,"two","yes",2,1,0.5504204,1
"38",1,"two","yes",2,1,0.5504204,1
"39",1,"two","yes",2,1,0.5504204,1
"40",1,"two","yes",2,2,0.5504204,2
"41",1,"two","yes",2,2,0.5504204,2
"42",1,"two","yes",2,2,0.5504204,2
"43",1,"two","yes",2,1,0.5504204,1
"44",1,"two","yes",2,2,0.5504204,2
"45",1,"two","yes",2,1,0.5504204,1
"46",1,"two","yes",2,2,0.5504204,2
"47",1,"two","yes",2,1,0.5504204,1
"48",1,"two","yes",2,2,0.5504204,2
"49",1,"two","yes",2,1,0.5504204,1
"50",1,"two","yes",2,2,0.5504204,2
"51",1,"two","yes",2,2,0.5504204,2
"52",1,"two","yes",2,1,0.5504204,1
"53",1,"two","yes",2,1,0.5504204,1
"54",1,"two","yes",2,2,0.5504204,2
"55",1,"two","yes",2,2,0.5504204,2
"56",1,"two","yes",2,2,0.5504204,2
"57",1,"two","yes",2,2,0.5504204,2
"58",1,"two","yes",2,2,0.5504204,2
"59",1,"two","yes",2,1,0.5504204,1
"60",1,"two","yes",2,1,0.5504204,1
"61",1,"two","yes",2,1,0.5504204,1
"62",1,"two","yes",2,1,0.5504204,1
"63",1,"two","yes",2,2,0.5504204,2
"64",1,"two","yes",2,2,0.5504204,2
"65",1,"two","yes",2,2,0.5504204,2
"66",1,"two","yes",2,1,0.5504204,1
"67",1,"two","yes",2,2,0.5504204,2
"68",1,"two","yes",2,2,0.5504204,2
"69",1,"two","yes",2,1,0.5504204,1
"70",1,"two","yes",2,2,0.5504204,2
"71",1,"two","yes",2,1,0.5504204,1
"72",1,"two","yes",2,1,0.5504204,1
"73",1,"two","yes",2,1,0.5504204,1
"74",1,"two","yes",2,1,0.5504204,1
"75",1,"two","yes",2,1,0.5504204,1
"76",1,"two","yes",2,2,0.5504204,2
"77",1,"two","yes",2,2,0.5504204,2
"78",1,"two","yes",2,2,0.5504204,2
"79",1,"two","yes",2,2,0.5504204,2
"80",1,"two","yes",2,1,0.5504204,1
"81",1,"two","yes",2,2,0.5504204,2
"82",1,"two","yes",2,2,0.5504204,2
"83",1,"two","yes",2,1,0.5504204,1
"84",1,"two","yes",2,1,0.5504204,1
"85",1,"two","yes",2,1,0.5504204,1
"86",1,"two","yes",2,2,0.5504204,2
"87",1,"two","yes",2,1,0.5504204,1
"88",1,"two","yes",2,2,0.5504204,2
"89",1,"two","yes",2,2,0.5504204,2
"90",1,"two","yes",2,1,0.5504204,1
"91",1,"two","yes",2,1,0.5504204,1
"92",1,"two","yes",2,2,0.5504204,2
"93",1,"two","yes",2,2,0.5504204,2
"94",1,"two","yes",2,1,0.5504204,1
"95",1,"two","yes",2,2,0.5504204,2
"96",1,"two","yes",2,1,0.5504204,1
"97",1,"two","yes",2,2,0.5504204,2
"98",1,"two","yes",2,2,0.5504204,2
"99",1,"two","yes",2,2,0.5504204,2
"100",1,"two","yes",2,2,0.5504204,2
"101",1,"two","yes",4,1,0.5504204,1
"102",1,"two","yes",4,3,0.5504204,4
"103",1,"two","yes",4,3,0.5504204,4
"104",1,"two","yes",4,2,0.5504204,2
"105",1,"two","yes",4,2,0.5504204,2
"106",1,"two","yes",4,2,0.5504204,2
"107",1,"two","yes",4,1,0.5504204,1
"108",1,"two","yes",4,1,0.5504204,1
"109",1,"two","yes",4,2,0.5504204,2
"110",1,"two","yes",4,2,0.5504204,2
"111",1,"two","yes",4,2,0.5504204,2
"112",1,"two","yes",4,1,0.5504204,1
"113",1,"two","yes",4,1,0.5504204,1
"114",1,"two","yes",4,2,0.5504204,2
"115",1,"two","yes",4,2,0.5504204,2
"116",1,"two","yes",4,1,0.5504204,1
"117",1,"two","yes",4,2,0.5504204,2
"118",1,"two","yes",4,1,0.5504204,1
"119",1,"two","yes",4,2,0.5504204,2
"120",1,"two","yes",4,2,0.5504204,2
"121",1,"two","yes",4,3,0.5504204,4
"122",1,"two","yes",4,2,0.5504204,2
"123",1,"two","yes",4,2,0.5504204,2
"124",1,"two","yes",4,3,0.5504204,4
"125",1,"two","yes",4,1,0.5504204,1
"126",1,"two","yes",4,1,0.5504204,1
"127",1,"two","yes",4,3,0.5504204,4
"128",1,"two","yes",4,2,0.5504204,2
"129",1,"two","yes",4,2,0.5504204,2
"130",1,"two","yes",4,2,0.5504204,2
"131",1,"two","yes",4,2,0.5504204,2
"132",1,"two","yes",4,1,0.5504204,1
"133",1,"two","yes",4,3,0.5504204,4
"134",1,"two","yes",4,2,0.5504204,2
