Pop,Theta,Growth,samplingSize,n.haplotypes,hap.diversity,Max.Gamma.value
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,1,0.5504204,2
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,2,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,3,0.5504204,5
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,1,0.5504204,2
1,two,yes,4,1,0.5504204,2
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,4,0.5504204,7
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,1,0.5504204,2
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,3,0.5504204,5
1,two,yes,4,1,0.5504204,2
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,3,0.5504204,5
1,two,yes,4,3,0.5504204,5
1,two,yes,4,1,0.5504204,2
1,two,yes,4,3,0.5504204,5
1,two,yes,4,3,0.5504204,5
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,4,0.5504204,7
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,1,0.5504204,2
1,two,yes,4,1,0.5504204,2
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,4,0.5504204,7
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,1,0.5504204,2
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,1,0.5504204,2
1,two,yes,4,3,0.5504204,5
1,two,yes,4,2,0.5504204,3
1,two,yes,4,2,0.5504204,3
1,two,yes,4,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,5,0.5504204,9
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,2,0.5504204,3
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,5,0.5504204,9
1,two,yes,8,4,0.5504204,7
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,5,0.5504204,9
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,4,0.5504204,7
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,1,0.5504204,2
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,2,0.5504204,3
1,two,yes,8,2,0.5504204,3
1,two,yes,8,5,0.5504204,9
1,two,yes,8,2,0.5504204,3
1,two,yes,8,2,0.5504204,3
1,two,yes,8,2,0.5504204,3
1,two,yes,8,3,0.5504204,5
1,two,yes,8,3,0.5504204,5
1,two,yes,8,4,0.5504204,7
1,two,yes,8,3,0.5504204,5
