Theta,Growth,samplingSize,n.haplotypes,n.seg.sites
two,no,2,2,1
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,2,2
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,2,2
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,2,3
two,no,2,2,1
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,2,1
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,2,2
two,no,2,1,0
two,no,2,2,2
two,no,2,2,2
two,no,2,2,2
two,no,2,1,0
two,no,2,1,0
two,no,2,2,1
two,no,2,2,2
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,2,1
two,no,2,1,0
two,no,2,2,1
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,2,1
two,no,2,2,2
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,2,2
two,no,2,1,0
two,no,2,1,0
two,no,2,2,2
two,no,2,1,0
two,no,2,2,1
two,no,2,1,0
two,no,2,2,2
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,2,2
two,no,2,1,0
two,no,2,2,1
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,1,0
two,no,2,2,2
two,no,2,1,0
two,no,2,1,0
two,no,2,2,2
two,no,2,1,0
two,no,4,2,2
two,no,4,1,0
two,no,4,2,1
two,no,4,1,0
two,no,4,2,2
two,no,4,1,0
two,no,4,2,1
two,no,4,2,2
two,no,4,2,2
two,no,4,3,4
two,no,4,2,2
two,no,4,1,0
two,no,4,4,5
two,no,4,3,3
two,no,4,1,0
two,no,4,2,1
two,no,4,1,0
two,no,4,1,0
two,no,4,1,0
two,no,4,1,0
two,no,4,1,0
two,no,4,2,1
two,no,4,1,0
two,no,4,1,0
two,no,4,2,2
two,no,4,2,2
two,no,4,1,0
two,no,4,2,1
two,no,4,2,1
two,no,4,2,2
two,no,4,1,0
two,no,4,2,2
two,no,4,2,2
two,no,4,2,2
two,no,4,1,0
two,no,4,1,0
two,no,4,1,0
two,no,4,3,3
two,no,4,2,2
two,no,4,2,1
two,no,4,1,0
two,no,4,2,2
two,no,4,3,3
two,no,4,1,0
two,no,4,4,3
two,no,4,2,2
two,no,4,2,1
two,no,4,2,2
two,no,4,1,0
two,no,4,1,0
two,no,4,2,1
two,no,4,1,0
two,no,4,1,0
two,no,4,1,0
two,no,4,1,0
two,no,4,3,3
two,no,4,2,2
two,no,4,1,0
two,no,4,3,3
two,no,4,2,2
two,no,4,1,0
two,no,4,1,0
two,no,4,3,2
two,no,4,2,2
two,no,4,2,1
two,no,4,1,0
two,no,4,1,0
two,no,4,2,2
two,no,4,1,0
two,no,4,2,2
two,no,4,3,3
two,no,4,2,1
two,no,4,2,2
two,no,4,2,2
two,no,4,1,0
two,no,4,2,2
two,no,4,2,2
two,no,4,1,0
two,no,4,3,4
two,no,4,3,3
two,no,4,1,0
two,no,4,3,2
two,no,4,1,0
two,no,4,2,2
two,no,4,1,0
two,no,4,2,1
two,no,4,1,0
two,no,4,3,2
two,no,4,1,0
two,no,4,1,0
two,no,4,2,1
two,no,4,2,2
two,no,4,1,0
two,no,4,1,0
two,no,4,3,3
two,no,4,1,0
two,no,4,1,0
two,no,4,2,2
two,no,4,3,3
two,no,4,1,0
two,no,8,1,0
two,no,8,3,4
two,no,8,3,3
two,no,8,2,1
two,no,8,3,4
two,no,8,3,3
two,no,8,1,0
two,no,8,2,2
two,no,8,5,5
two,no,8,1,0
two,no,8,4,5
two,no,8,2,2
two,no,8,3,3
two,no,8,2,1
two,no,8,2,2
two,no,8,3,3
two,no,8,3,3
two,no,8,3,3
two,no,8,2,2
two,no,8,1,0
two,no,8,2,1
two,no,8,3,3
two,no,8,1,0
two,no,8,2,1
two,no,8,2,1
two,no,8,2,2
two,no,8,3,4
two,no,8,2,2
two,no,8,3,4
two,no,8,2,2
two,no,8,2,1
two,no,8,2,1
two,no,8,2,2
two,no,8,2,2
two,no,8,2,2
two,no,8,2,2
two,no,8,3,3
two,no,8,1,0
two,no,8,2,1
two,no,8,3,2
two,no,8,2,1
two,no,8,4,5
two,no,8,3,3
two,no,8,4,5
two,no,8,2,1
two,no,8,2,2
two,no,8,3,2
two,no,8,4,5
two,no,8,2,2
two,no,8,3,3
two,no,8,2,2
two,no,8,2,2
two,no,8,2,2
two,no,8,2,1
two,no,8,4,4
two,no,8,1,0
two,no,8,2,2
two,no,8,2,1
two,no,8,1,0
two,no,8,2,1
two,no,8,2,2
two,no,8,3,3
two,no,8,1,0
two,no,8,3,3
two,no,8,2,1
two,no,8,2,2
two,no,8,2,1
two,no,8,3,3
two,no,8,2,2
two,no,8,3,2
two,no,8,1,0
two,no,8,3,3
two,no,8,3,3
two,no,8,2,2
two,no,8,2,2
two,no,8,1,0
two,no,8,3,3
two,no,8,2,2
two,no,8,2,1
two,no,8,2,1
two,no,8,4,5
two,no,8,2,1
two,no,8,1,0
two,no,8,3,4
two,no,8,3,3
two,no,8,2,1
