Pop,Theta,Growth,samplingSize,n.haplotypes
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,1
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,2,2
1,two,yes,4,1
1,two,yes,4,3
1,two,yes,4,3
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,1
1,two,yes,4,1
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,1
1,two,yes,4,1
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,1
1,two,yes,4,2
1,two,yes,4,1
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,3
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,3
1,two,yes,4,1
1,two,yes,4,1
1,two,yes,4,3
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,1
1,two,yes,4,3
1,two,yes,4,2
1,two,yes,4,3
1,two,yes,4,4
1,two,yes,4,2
1,two,yes,4,1
1,two,yes,4,2
1,two,yes,4,3
1,two,yes,4,1
1,two,yes,4,3
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,1
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,1
1,two,yes,4,2
1,two,yes,4,3
1,two,yes,4,3
1,two,yes,4,1
1,two,yes,4,1
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,1
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,3
1,two,yes,4,2
1,two,yes,4,3
1,two,yes,4,3
1,two,yes,4,3
1,two,yes,4,1
1,two,yes,4,3
1,two,yes,4,3
1,two,yes,4,3
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,4
1,two,yes,4,3
1,two,yes,4,2
1,two,yes,4,3
1,two,yes,4,1
1,two,yes,4,1
1,two,yes,4,3
1,two,yes,4,2
1,two,yes,4,4
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,1
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,3
1,two,yes,4,1
1,two,yes,4,2
1,two,yes,4,3
1,two,yes,4,3
1,two,yes,4,2
1,two,yes,4,1
1,two,yes,4,3
1,two,yes,4,2
1,two,yes,4,2
1,two,yes,4,3
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,5
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,4
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,2
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,4
1,two,yes,8,4
1,two,yes,8,2
1,two,yes,8,3
1,two,yes,8,2
1,two,yes,8,2
1,two,yes,8,2
1,two,yes,8,3
1,two,yes,8,4
1,two,yes,8,4
1,two,yes,8,4
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,5
1,two,yes,8,4
1,two,yes,8,2
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,5
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,2
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,4
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,2
1,two,yes,8,4
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,1
1,two,yes,8,3
1,two,yes,8,2
1,two,yes,8,3
1,two,yes,8,2
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,2
1,two,yes,8,2
1,two,yes,8,5
1,two,yes,8,2
1,two,yes,8,2
1,two,yes,8,2
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,2
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,4
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,2
1,two,yes,8,3
1,two,yes,8,3
1,two,yes,8,2
1,two,yes,8,4
1,two,yes,8,2
