"","Pop","Theta","Growth","samplingSize","n.seg.sites"
"2",1,"two","yes","2",1
"3",1,"two","yes","2",1
"4",1,"two","yes","2",0
"5",1,"two","yes","2",0
"6",1,"two","yes","2",1
"7",1,"two","yes","2",1
"8",1,"two","yes","2",1
"9",1,"two","yes","2",0
"10",1,"two","yes","2",1
"11",1,"two","yes","2",2
"12",1,"two","yes","2",3
"13",1,"two","yes","2",0
"14",1,"two","yes","2",2
"15",1,"two","yes","2",0
"16",1,"two","yes","2",1
"17",1,"two","yes","2",0
"18",1,"two","yes","2",0
"19",1,"two","yes","2",1
"20",1,"two","yes","2",0
"21",1,"two","yes","2",0
"22",1,"two","yes","2",0
"23",1,"two","yes","2",1
"24",1,"two","yes","2",1
"25",1,"two","yes","2",2
"26",1,"two","yes","2",0
"27",1,"two","yes","2",0
"28",1,"two","yes","2",4
"29",1,"two","yes","2",3
"30",1,"two","yes","2",1
"31",1,"two","yes","2",1
"32",1,"two","yes","2",1
"33",1,"two","yes","2",0
"34",1,"two","yes","2",1
"35",1,"two","yes","2",1
"36",1,"two","yes","2",1
"37",1,"two","yes","2",1
"38",1,"two","yes","2",0
"39",1,"two","yes","2",0
"40",1,"two","yes","2",0
"41",1,"two","yes","2",1
"42",1,"two","yes","2",2
"43",1,"two","yes","2",1
"44",1,"two","yes","2",0
"45",1,"two","yes","2",1
"46",1,"two","yes","2",0
"47",1,"two","yes","2",2
"48",1,"two","yes","2",0
"49",1,"two","yes","2",3
"50",1,"two","yes","2",0
"51",1,"two","yes","2",1
"52",1,"two","yes","2",1
"53",1,"two","yes","2",0
"54",1,"two","yes","2",0
"55",1,"two","yes","2",1
"56",1,"two","yes","2",1
"57",1,"two","yes","2",1
"58",1,"two","yes","2",1
"59",1,"two","yes","2",1
"60",1,"two","yes","2",0
"61",1,"two","yes","2",0
"62",1,"two","yes","2",0
"63",1,"two","yes","2",0
"64",1,"two","yes","2",3
"65",1,"two","yes","2",1
"66",1,"two","yes","2",1
"67",1,"two","yes","2",0
"68",1,"two","yes","2",1
"69",1,"two","yes","2",1
"70",1,"two","yes","2",0
"71",1,"two","yes","2",2
"72",1,"two","yes","2",0
"73",1,"two","yes","2",0
"74",1,"two","yes","2",0
"75",1,"two","yes","2",0
"76",1,"two","yes","2",0
"77",1,"two","yes","2",1
"78",1,"two","yes","2",1
"79",1,"two","yes","2",1
"80",1,"two","yes","2",2
"81",1,"two","yes","2",0
"82",1,"two","yes","2",1
"83",1,"two","yes","2",2
"84",1,"two","yes","2",0
"85",1,"two","yes","2",0
"86",1,"two","yes","2",0
"87",1,"two","yes","2",1
"88",1,"two","yes","2",0
"89",1,"two","yes","2",1
"90",1,"two","yes","2",1
"91",1,"two","yes","2",0
"92",1,"two","yes","2",0
"93",1,"two","yes","2",3
"94",1,"two","yes","2",1
"95",1,"two","yes","2",0
"96",1,"two","yes","2",1
"97",1,"two","yes","2",0
"98",1,"two","yes","2",1
"99",1,"two","yes","2",2
"100",1,"two","yes","2",1
"101",1,"two","yes","2",1
"102",1,"two","yes","4",0
"103",1,"two","yes","4",2
"104",1,"two","yes","4",2
"105",1,"two","yes","4",1
"106",1,"two","yes","4",1
"107",1,"two","yes","4",1
"108",1,"two","yes","4",0
"109",1,"two","yes","4",0
"110",1,"two","yes","4",1
"111",1,"two","yes","4",1
"112",1,"two","yes","4",1
"113",1,"two","yes","4",0
"114",1,"two","yes","4",0
"115",1,"two","yes","4",1
"116",1,"two","yes","4",1
"117",1,"two","yes","4",0
"118",1,"two","yes","4",1
"119",1,"two","yes","4",0
"120",1,"two","yes","4",1
"121",1,"two","yes","4",1
"122",1,"two","yes","4",2
"123",1,"two","yes","4",1
"124",1,"two","yes","4",1
"125",1,"two","yes","4",2
"126",1,"two","yes","4",0
"127",1,"two","yes","4",0
"128",1,"two","yes","4",2
"129",1,"two","yes","4",1
"130",1,"two","yes","4",1
"131",1,"two","yes","4",1
"132",1,"two","yes","4",1
"133",1,"two","yes","4",0
"134",1,"two","yes","4",2
"135",1,"two","yes","4",1
"136",1,"two","yes","4",2
"137",1,"two","yes","4",3
"138",1,"two","yes","4",1
"139",1,"two","yes","4",0
"140",1,"two","yes","4",3
"141",1,"two","yes","4",3
"142",1,"two","yes","4",0
"143",1,"two","yes","4",2
"144",1,"two","yes","4",1
"145",1,"two","yes","4",1
"146",1,"two","yes","4",1
"147",1,"two","yes","4",0
"148",1,"two","yes","4",1
"149",1,"two","yes","4",1
"150",1,"two","yes","4",0
"151",1,"two","yes","4",1
"152",1,"two","yes","4",2
"153",1,"two","yes","4",2
"154",1,"two","yes","4",0
"155",1,"two","yes","4",0
"156",1,"two","yes","4",1
"157",1,"two","yes","4",3
"158",1,"two","yes","4",0
"159",1,"two","yes","4",1
"160",1,"two","yes","4",1
"161",1,"two","yes","4",1
"162",1,"two","yes","4",1
"163",1,"two","yes","4",1
"164",1,"two","yes","4",1
"165",1,"two","yes","4",2
"166",1,"two","yes","4",1
"167",1,"two","yes","4",2
"168",1,"two","yes","4",2
"169",1,"two","yes","4",2
"170",1,"two","yes","4",0
"171",1,"two","yes","4",2
"172",1,"two","yes","4",4
"173",1,"two","yes","4",2
"174",1,"two","yes","4",1
"175",1,"two","yes","4",2
"176",1,"two","yes","4",4
"177",1,"two","yes","4",2
"178",1,"two","yes","4",1
"179",1,"two","yes","4",2
"180",1,"two","yes","4",0
"181",1,"two","yes","4",0
"182",1,"two","yes","4",2
"183",1,"two","yes","4",1
"184",1,"two","yes","4",3
"185",1,"two","yes","4",1
"186",1,"two","yes","4",1
"187",1,"two","yes","4",0
"188",1,"two","yes","4",1
"189",1,"two","yes","4",3
"190",1,"two","yes","4",1
"191",1,"two","yes","4",2
"192",1,"two","yes","4",0
"193",1,"two","yes","4",1
"194",1,"two","yes","4",2
"195",1,"two","yes","4",2
"196",1,"two","yes","4",2
"197",1,"two","yes","4",0
"198",1,"two","yes","4",2
"199",1,"two","yes","4",1
"200",1,"two","yes","4",1
"201",1,"two","yes","4",2
"202",1,"two","yes","8",2
"203",1,"two","yes","8",2
"204",1,"two","yes","8",5
"205",1,"two","yes","8",3
"206",1,"two","yes","8",2
"207",1,"two","yes","8",3
"208",1,"two","yes","8",2
"209",1,"two","yes","8",3
"210",1,"two","yes","8",3
"211",1,"two","yes","8",2
"212",1,"two","yes","8",1
"213",1,"two","yes","8",4
"214",1,"two","yes","8",3
"215",1,"two","yes","8",4
"216",1,"two","yes","8",3
"217",1,"two","yes","8",4
"218",1,"two","yes","8",1
"219",1,"two","yes","8",3
"220",1,"two","yes","8",3
"221",1,"two","yes","8",1
"222",1,"two","yes","8",1
"223",1,"two","yes","8",2
"224",1,"two","yes","8",3
"225",1,"two","yes","8",3
"226",1,"two","yes","8",3
"227",1,"two","yes","8",4
"228",1,"two","yes","8",3
"229",1,"two","yes","8",2
"230",1,"two","yes","8",2
"231",1,"two","yes","8",5
"232",1,"two","yes","8",3
"233",1,"two","yes","8",1
"234",1,"two","yes","8",2
"235",1,"two","yes","8",2
"236",1,"two","yes","8",2
"237",1,"two","yes","8",5
"238",1,"two","yes","8",2
"239",1,"two","yes","8",2
"240",1,"two","yes","8",3
"241",1,"two","yes","8",3
"242",1,"two","yes","8",1
"243",1,"two","yes","8",2
"244",1,"two","yes","8",3
"245",1,"two","yes","8",4
"246",1,"two","yes","8",3
"247",1,"two","yes","8",2
"248",1,"two","yes","8",1
"249",1,"two","yes","8",4
"250",1,"two","yes","8",3
"251",1,"two","yes","8",2
"252",1,"two","yes","8",2
"253",1,"two","yes","8",0
"254",1,"two","yes","8",2
"255",1,"two","yes","8",1
"256",1,"two","yes","8",2
"257",1,"two","yes","8",1
"258",1,"two","yes","8",2
"259",1,"two","yes","8",2
"260",1,"two","yes","8",2
"261",1,"two","yes","8",2
"262",1,"two","yes","8",1
"263",1,"two","yes","8",1
"264",1,"two","yes","8",5
"265",1,"two","yes","8",1
"266",1,"two","yes","8",1
"267",1,"two","yes","8",1
"268",1,"two","yes","8",2
"269",1,"two","yes","8",3
"270",1,"two","yes","8",4
"271",1,"two","yes","8",2
"272",1,"two","yes","8",1
"273",1,"two","yes","8",4
"274",1,"two","yes","8",4
"275",1,"two","yes","8",4
"276",1,"two","yes","8",2
"277",1,"two","yes","8",3
"278",1,"two","yes","8",1
"279",1,"two","yes","8",2
"280",1,"two","yes","8",2
"281",1,"two","yes","8",1
"282",1,"two","yes","8",3
"283",1,"two","yes","8",1
"284",1,"two","yes","8",3
"285",1,"two","yes","8",2
"286",1,"two","yes","8",2
"287",1,"two","yes","8",4
"288",1,"two","yes","8",2
"289",1,"two","yes","8",1
"290",1,"two","yes","8",2
"291",1,"two","yes","8",4
"292",1,"two","yes","8",2
"293",1,"two","yes","8",4
"294",1,"two","yes","8",5
"295",1,"two","yes","8",1
"296",1,"two","yes","8",2
"297",1,"two","yes","8",2
"298",1,"two","yes","8",3
"299",1,"two","yes","8",2
"300",1,"two","yes","8",2
"301",1,"two","yes","8",4
"302",1,"two","yes","16",5
"303",1,"two","yes","16",3
"304",1,"two","yes","16",5
"305",1,"two","yes","16",3
