Pop,Theta,Growth,samplingSize,n.seg.sites
1,two,no,2,0
1,two,no,2,3
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,2
1,two,no,2,1
1,two,no,2,0
1,two,no,2,0
1,two,no,2,2
1,two,no,2,2
1,two,no,2,1
1,two,no,2,2
1,two,no,2,2
1,two,no,2,0
1,two,no,2,0
1,two,no,2,2
1,two,no,2,2
1,two,no,2,0
1,two,no,2,2
1,two,no,2,2
1,two,no,2,2
1,two,no,2,1
1,two,no,2,0
1,two,no,2,0
1,two,no,2,1
1,two,no,2,2
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,4
1,two,no,2,0
1,two,no,2,0
1,two,no,2,2
1,two,no,2,2
1,two,no,2,0
1,two,no,2,2
1,two,no,2,2
1,two,no,2,0
1,two,no,2,2
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,2
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,1
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,3
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,2
1,two,no,2,2
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,1
1,two,no,2,0
1,two,no,2,4
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,3
1,two,no,2,0
1,two,no,2,2
1,two,no,2,0
1,two,no,2,1
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,2,2
1,two,no,2,0
1,two,no,2,0
1,two,no,2,1
1,two,no,2,0
1,two,no,2,1
1,two,no,2,0
1,two,no,2,2
1,two,no,2,2
1,two,no,2,0
1,two,no,2,2
1,two,no,2,2
1,two,no,2,0
1,two,no,2,0
1,two,no,2,0
1,two,no,13,0
1,two,no,13,0
1,two,no,13,0
1,two,no,13,2
1,two,no,13,0
1,two,no,13,1
1,two,no,13,0
1,two,no,13,2
1,two,no,13,1
1,two,no,13,0
1,two,no,13,0
1,two,no,13,0
1,two,no,13,2
1,two,no,13,0
1,two,no,13,0
1,two,no,13,2
1,two,no,13,0
1,two,no,13,0
1,two,no,13,2
1,two,no,13,0
1,two,no,13,0
1,two,no,13,0
1,two,no,13,4
1,two,no,13,0
1,two,no,13,0
1,two,no,13,0
1,two,no,13,2
1,two,no,13,0
1,two,no,13,1
1,two,no,13,2
1,two,no,13,2
1,two,no,13,0
1,two,no,13,0
1,two,no,13,2
1,two,no,13,0
