group,locus,nsam,nsites,nsites_ug,S,Singletons,NMut,nhap,hapdiv,WallsB,WallsQ,ThetaW,ThetaPi,TajD,FuLiDStar,FuLiFStar,Rmin,rho87,pTajD,pnhap,phapdiv,pWallsB,pWallsQ,pFuLiDStar,pFuLiFStar
sauropsida,10-Acontias-meleagris-600.fas,10,600,600,41,1,42,5,0.844444,0.461538,0.55,0.0248848,0.0281111,0.634002,1.52106,1.47507,2,0.799944,0.809,0.04,0.062,0.112,0.165,1,0.982
sauropsida,10-Chlorospingus-ophthalmicus-661.fas,10,661,661,67,36,71,10,1,0.0483871,0.0952381,0.037969,0.034157,-0.494637,-0.478473,-0.54518,18,233.216,0.31,1,1,0.989,0.989,0.31,0.285
sauropsida,10-Mabuya-spinalis-502.fas,10,501,501,44,4,45,6,0.911111,0.214286,0.372093,0.0317502,0.0376137,0.899873,1.25589,1.31775,0,7.93456,0.846,0.113,0.132,0.491,0.476,0.974,0.943
sauropsida,11-Acontias-meleagris-599.fas,11,599,599,64,18,68,8,0.945455,0.135593,0.233333,0.0388028,0.0446367,0.716321,0.486045,0.620684,10,15.192,0.805,0.246,0.246,0.708,0.764,0.689,0.731
sauropsida,11-Amazona-aestiva-513.fas,11,513,513,5,1,5,5,0.854545,0.25,0.4,0.00332765,0.0040404,0.820668,0.597481,0.736471,0,23.9829,0.811,0.913,0.963,0.598,0.598,0.836,0.763
sauropsida,11-Lathrotriccus-euleri-542.fas,11,542,542,4,4,4,4,0.490909,0,0,0.00251968,0.00134183,-1.71166,-2.01961,-2.18782,0,28.3137,0,0.774,0.155,1,1,0.066,0.066
sauropsida,15-Amazona-ochrocephala-513.fas,15,513,513,8,3,8,8,0.904762,0.142857,0.25,0.00479602,0.00445558,-0.261394,-0.187885,-0.238063,0,10000,0.444,0.993,0.987,0.693,0.693,0.512,0.418
sauropsida,15-Eudyptes-chrysocome-533.fas,15,533,533,11,2,11,5,0.752381,0.4,0.545455,0.00634707,0.0072188,0.529363,0.645873,0.704825,0,2.64576,0.763,0.24,0.252,0.175,0.19,0.839,0.782
sauropsida,17-Branta-hutchinsii-697.fas,17,697,697,1,1,1,2,0.117647,NA,NA,0.000424382,0.000168791,-1.16387,-1.47711,-1.59107,4294967295,10000,0.325,1,0.325,0,0,0.325,0.325
sauropsida,20-Eudyptula-minor-841.fas,20,841,841,31,2,31,5,0.6,0.866667,0.903226,0.01039,0.0155266,1.94185,1.2998,1.73552,0,1.19E-07,0.98,0.007,0.003,0.001,0.003,0.984,0.983
sauropsida,25-Chersina-angulata-599.fas,25,599,599,38,23,40,25,1,0.0285714,0.0555556,0.01769,0.0132886,-0.947587,-1.89248,-1.87234,2,14.5691,0.167,1,1,0.888,0.888,0.049,0.053
sauropsida,31-Amazona-ochrocephala-622.fas,31,622,622,30,5,30,14,0.901075,0.137931,0.233333,0.012073,0.0121702,0.028932,0.617719,0.502094,7,10.8397,0.597,0.7,0.482,0.465,0.446,0.806,0.724
sauropsida,33-Osteolaemus-tetraspis-608.fas,33,608,608,71,30,74,8,0.695076,0.283582,0.485294,0.0299891,0.0206184,-1.16559,-1.13903,-1.36025,9,1.19E-07,0.097,0.001,0.001,0.083,0.056,0.123,0.097
sauropsida,36-Schiffornis-turdina-615.fas,36,615,615,127,9,144,25,0.97619,0.0720721,0.116071,0.0564646,0.0731165,1.10513,1.5069,1.62449,27,17.5297,0.922,0.506,0.514,0.695,0.784,0.995,0.977
sauropsida,41-Coereba-flaveola-651.fas,41,651,651,75,22,77,23,0.939024,0.0277778,0.0547945,0.0276448,0.0245101,-0.410255,-0.38448,-0.46863,13,3.74671,0.365,0.641,0.261,0.912,0.912,0.318,0.302
sauropsida,43-Caiman-crocodilus-658.fas,43,658,658,25,5,26,15,0.864895,0.173913,0.291667,0.00913243,0.0120133,1.05982,0.329273,0.688004,0,7.85234,0.876,0.761,0.37,0.216,0.246,0.688,0.766
sauropsida,48-Cyrtopodion-kotschyi-515.fas,48,515,515,197,30,335,48,1,0,0,0.146607,0.159405,0.318757,1.34824,1.14921,61,148.967,0.683,1,1,1,1,0.988,0.912
sauropsida,5-Acontias-percivali-560.fas,5,560,560,7,6,7,3,0.7,0.833333,1,0.00635065,0.00589286,-0.531826,-0.74682,-0.648697,0,3.48224,0.362,0.39,0.232,0.103,0.08,0.362,0.362
sauropsida,5-Cardinalis-cardinalis-697.fas,5,697,697,2,2,2,3,0.7,0,0,0.00137733,0.00114778,-0.972558,-0.972558,-0.954404,0,10000,0.427,1,0.747,1,1,0.427,0.427
sauropsida,5-Catharus-guttatus PS-2-697.fas,5,697,697,3,2,3,4,0.9,0,0,0.002066,0.00200861,-0.174749,-0.174749,-0.175315,0,10000,0.355,1,1,1,1,0.628,0.628
sauropsida,5-Chlorospingus-ophthalmicus-675.fas,5,675,675,73,49,73,5,1,0.152778,0.273973,0.0519111,0.0503704,-0.224972,-0.224972,-0.244243,10,85.4433,0.508,1,1,0.966,0.964,0.513,0.508
sauropsida,5-Clangula-hyemalis-697.fas,5,697,697,2,1,2,3,0.7,0,0,0.00137733,0.00143472,0.243139,0.243139,0.238601,0,10000,0.794,1,0.756,1,1,0.794,0.794
sauropsida,5-Corvus-corax-314.fas,5,314,314,18,6,19,5,1,0.4375,0.647059,0.0290446,0.0318471,0.712061,0.873892,0.900789,2,16.6511,0.727,1,1,0.408,0.312,0.822,0.766
sauropsida,5-Corvus-corax-658.fas,5,658,658,29,8,29,5,1,0.5,0.62069,0.021155,0.0240122,1.009,1.009,1.08694,0,5.28614,0.786,1,1,0.329,0.423,0.831,0.831
sauropsida,5-Corvus-corax-825.fas,5,825,825,34,6,34,5,1,0.636364,0.735294,0.0197818,0.0232727,1.32301,1.32301,1.42784,1,4.2398,0.91,1,1,0.165,0.236,0.924,0.913
sauropsida,5-Corvus-corax-925.fas,5,925,925,38,6,38,5,1,0.648649,0.789474,0.0197189,0.0233514,1.384,1.384,1.49537,1,3.28173,0.927,1,1,0.157,0.163,0.942,0.94
sauropsida,5-Corvus-corax-963.fas,5,963,963,2,2,2,3,0.7,0,0,0.000996885,0.000830737,-0.972558,-0.972558,-0.954404,0,10000,0.434,1,0.752,1,1,0.434,0.434
